========================================================================================================================
PER-PROMPT LATENCY ACROSS 3 RUNS (ms)
========================================================================================================================
Model                Prompt     R1      R2      R3     Avg
----------------------------------------------------------
qwen2.5:3b           P1       7987    7973    5367    7109
qwen2.5:3b           P2       1182    1216    1108    1169
qwen2.5:3b           P3       3604    3815    3549    3656
qwen2.5:3b           P4       2569    2361    3646    2859
qwen2.5:3b           P5       3158    3402    3961    3507
qwen2.5:3b           P6       1542    1734    1609    1628
qwen2.5:3b           P7       3769    4420    3778    3989
qwen2.5:3b           P8       2103    3026    3006    2712
qwen2.5:3b           P9       3804    6303    4857    4988
qwen2.5:3b           P10      4171    6927    4334    5144
qwen2.5:3b           P11      1394    1237    1486    1372
qwen2.5:3b           P12      3864    2921    6378    4388
----------------------------------------------------------
qwen2.5:1.5b         P1       4498    2850    3036    3461
qwen2.5:1.5b         P2        695     603     624     641
qwen2.5:1.5b         P3       1986    1872    1912    1923
qwen2.5:1.5b         P4       1462    3151    2287    2300
qwen2.5:1.5b         P5       2206    2360    2331    2299
qwen2.5:1.5b         P6       1006     959    1190    1052
qwen2.5:1.5b         P7       2072     968    1131    1390
qwen2.5:1.5b         P8       1215    1240    1187    1214
qwen2.5:1.5b         P9      11878   10740    9961   10860
qwen2.5:1.5b         P10      1886    2408    3003    2432
qwen2.5:1.5b         P11      1791    1692    2087    1857
qwen2.5:1.5b         P12      1683    1275    1720    1559
----------------------------------------------------------
qwen2.5:0.5b         P1       2109    1506    1425    1680
qwen2.5:0.5b         P2        370     305     302     326
qwen2.5:0.5b         P3        933     780     815     843
qwen2.5:0.5b         P4        876    1442     905    1074
qwen2.5:0.5b         P5       1318     727     621     889
qwen2.5:0.5b         P6        652     312     310     425
qwen2.5:0.5b         P7        962     844     861     889
qwen2.5:0.5b         P8        615     493     513     540
qwen2.5:0.5b         P9       2996     949    1494    1813
qwen2.5:0.5b         P10      1330     663    1492    1162
qwen2.5:0.5b         P11       404     303     320     342
qwen2.5:0.5b         P12       418     334     766     506
----------------------------------------------------------
llama3.2:3b          P1       8130    5396    5670    6399
llama3.2:3b          P2       1049    1104    1004    1052
llama3.2:3b          P3       3235    3110    3168    3171
llama3.2:3b          P4       1157     979    1109    1082
llama3.2:3b          P5       4073     985    1124    2061
llama3.2:3b          P6       1280    1183    1252    1238
llama3.2:3b          P7       3383    3318    3442    3381
llama3.2:3b          P8       1927    1861    1939    1909
llama3.2:3b          P9       1163    1036    1079    1093
llama3.2:3b          P10      1291    1169    1167    1209
llama3.2:3b          P11      1190    1064    1103    1119
llama3.2:3b          P12      2650    2522    1159    2110
----------------------------------------------------------
smollm2:1.7b         P1       5792    4482    4714    4996
smollm2:1.7b         P2       1328    1468    1475    1424
smollm2:1.7b         P3       3403    3702    3771    3625
smollm2:1.7b         P4        668     580     578     609
smollm2:1.7b         P5        743     551     558     617
smollm2:1.7b         P6       1450    1570    1600    1540
smollm2:1.7b         P7       3651    4208    4095    3985
smollm2:1.7b         P8       2107    2291    2331    2243
smollm2:1.7b         P9        586     578     584     583
smollm2:1.7b         P10       645    1527     622     931
smollm2:1.7b         P11      1403    4760    1594    2586
smollm2:1.7b         P12      1479    1600    1802    1627
----------------------------------------------------------
ministral-3:3b       P1      18254   11476   12054   13928
ministral-3:3b       P2        959     837     870     889
ministral-3:3b       P3       3880    3645    3798    3774
ministral-3:3b       P4      21954    5991   28501   18815
ministral-3:3b       P5       7434    9396    9836    8889
ministral-3:3b       P6       1762    1845    1762    1790
ministral-3:3b       P7       2540    2979    2294    2604
ministral-3:3b       P8       1681    1560    1609    1617
ministral-3:3b       P9      26208   29632   32607   29482
ministral-3:3b       P10     10321   14057    5832   10070
ministral-3:3b       P11      4425    2514    2443    3127
ministral-3:3b       P12      3443    4326    4347    4039
----------------------------------------------------------
deepseek-r1:1.5b     P1      10963    5354    4545    6954
deepseek-r1:1.5b     P2       6328    5191    9229    6916
deepseek-r1:1.5b     P3       8482    6341    7859    7561
deepseek-r1:1.5b     P4       5253    4465    5233    4984
deepseek-r1:1.5b     P5       8125    9703    3717    7182
deepseek-r1:1.5b     P6       3049    1913    3761    2908
deepseek-r1:1.5b     P7       7897    6605    4443    6315
deepseek-r1:1.5b     P8       5986    6013    5469    5823
deepseek-r1:1.5b     P9       4864    8308    5090    6087
deepseek-r1:1.5b     P10      4270    3671    3769    3903
deepseek-r1:1.5b     P11      4838    2909    4871    4206
deepseek-r1:1.5b     P12      4794    8435    5531    6253
----------------------------------------------------------
gemma3:1b            P1       2492    1713    1721    1975
gemma3:1b            P2       1086     556     577     740
gemma3:1b            P3        940    2151    1572    1554
gemma3:1b            P4       7202    4872     498    4191
gemma3:1b            P5       2277    1246     590    1371
gemma3:1b            P6        757     542     622     640
gemma3:1b            P7       1599    1629    1420    1549
gemma3:1b            P8        913     607     571     697
gemma3:1b            P9       5739   19498   21159   15465
gemma3:1b            P10       830    1346    1175    1117
gemma3:1b            P11       698     583     612     631
gemma3:1b            P12       746     448     577     590
----------------------------------------------------------
phi4-mini:3.8b       P1       7794    5382    5362    6179
phi4-mini:3.8b       P2       1570    1573    1579    1574
phi4-mini:3.8b       P3       3786    3982    3977    3915
phi4-mini:3.8b       P4       1620    1697    1680    1666
phi4-mini:3.8b       P5       3017    5886    4287    4397
phi4-mini:3.8b       P6       8396    3602    7266    6421
phi4-mini:3.8b       P7       2970    3998   15332    7433
phi4-mini:3.8b       P8       3725    3057    2408    3063
phi4-mini:3.8b       P9       5051    5179    9344    6525
phi4-mini:3.8b       P10     15723    1878   11041    9547
phi4-mini:3.8b       P11      4740   19182    9367   11096
phi4-mini:3.8b       P12     10676    5813    1864    6118
----------------------------------------------------------
bitnet-3B            P1      17252   16988   17997   17412
bitnet-3B            P2       6534   16998   16951   13494
bitnet-3B            P3      18098   17466   17556   17707
bitnet-3B            P4      17476   17010    3668   12718
bitnet-3B            P5      17891   17025   12659   15858
bitnet-3B            P6      17811   13381   17507   16233
bitnet-3B            P7      18221   17550    8612   14794
bitnet-3B            P8      18160   17094   17322   17525
bitnet-3B            P9       6142   17413   17361   13639
bitnet-3B            P10     18182   17309    4798   13430
bitnet-3B            P11     18069   17380   11953   15801
bitnet-3B            P12     18189   17182   16731   17367
----------------------------------------------------------
bitnet-2B-4T         P1       1904    1380    1358    1547
bitnet-2B-4T         P2       1604    1272    1348    1408
bitnet-2B-4T         P3       2875    2130    2585    2530
bitnet-2B-4T         P4       1802    1500    1344    1549
bitnet-2B-4T         P5       2432    1389    2837    2219
bitnet-2B-4T         P6       1828    1630    1479    1646
bitnet-2B-4T         P7       2944    2436    2579    2653
bitnet-2B-4T         P8       2314    1980    1979    2091
bitnet-2B-4T         P9       6250    7133    6326    6570
bitnet-2B-4T         P10      2606    2022    2319    2316
bitnet-2B-4T         P11      1847    1494    1177    1506
bitnet-2B-4T         P12      1844    2832    1466    2047
----------------------------------------------------------

================================================================================================================================================================
AVERAGED SUMMARY (3 runs)
================================================================================================================================================================

================================================================================================================================================================
TEST PROMPTS
================================================================================================================================================================
  P1: What's the weather in Antwerp?
  P2: Find all Python files in the project.
  P3: Schedule a meeting called 'Sprint Review' for 2025-02-10T14:00:00 with alice@co.com and bob@co.com.
  P4: I'm heading to Brussels tomorrow, anything I should know?
  P5: What tools do you have access to? [RESTRAINT]
  P6: What's the weather in the city where we have our next sprint review?
  P7: Oh hey, could you maybe like set up a meeting — 'Q3 Roadmap' — for next Tuesday at 3pm? I think dave@co.com and maybe susan@co.com should come
  P8: Search for all files matching '*.py' and also tell me the weather in Paris.
  P9: Can you write a Python script that checks the weather using an API? [RESTRAINT]
  P10: I have a meeting with a client in Bruges next Thursday. Should I take the train or cycle? [HARD]
  P11: Don't check the weather in Antwerp, just find me the quarterly report. [HARD]
  P12: The weather in Antwerp is 8°C and rainy. Should I schedule an indoor meeting with Jan? [HARD]

================================================================================================================================================================
DETAILED RESULTS
================================================================================================================================================================
Model                Prompt Called?  Tool                 Args OK      ms
-------------------------------------------------------------------------
qwen2.5:3b           P1     YES      get_weather          OK         7109
qwen2.5:3b           P2     YES      search_files         OK         1169
qwen2.5:3b           P3     YES      schedule_meeting     OK         3656
qwen2.5:3b           P4     YES      get_weather          OK         2859
qwen2.5:3b           P5     no       -                    -          3507
qwen2.5:3b           P6     no       -                    -          1628
qwen2.5:3b           P7     YES      schedule_meeting     OK         3989
qwen2.5:3b           P8     YES      search_files         OK         2712
qwen2.5:3b           P9     YES      get_weather          OK         4988
qwen2.5:3b           P10    YES      get_weather          OK         5144
qwen2.5:3b           P11    YES      search_files         OK         1372
qwen2.5:3b           P12    YES      get_weather          OK         4388
-------------------------------------------------------------------------
qwen2.5:1.5b         P1     YES      get_weather          OK         3461
qwen2.5:1.5b         P2     YES      search_files         OK          641
qwen2.5:1.5b         P3     YES      schedule_meeting     OK         1923
qwen2.5:1.5b         P4     no       -                    -          2300
qwen2.5:1.5b         P5     no       -                    -          2299
qwen2.5:1.5b         P6     no       -                    -          1052
qwen2.5:1.5b         P7     no       -                    -          1390
qwen2.5:1.5b         P8     YES      search_files         OK         1214
qwen2.5:1.5b         P9     no       -                    -         10860
qwen2.5:1.5b         P10    no       -                    -          2432
qwen2.5:1.5b         P11    no       -                    -          1857
qwen2.5:1.5b         P12    YES      schedule_meeting     OK         1559
-------------------------------------------------------------------------
qwen2.5:0.5b         P1     YES      get_weather          OK         1680
qwen2.5:0.5b         P2     YES      search_files         OK          326
qwen2.5:0.5b         P3     YES      schedule_meeting     OK          843
qwen2.5:0.5b         P4     no       -                    -          1074
qwen2.5:0.5b         P5     no       -                    -           889
qwen2.5:0.5b         P6     YES      get_weather          OK          425
qwen2.5:0.5b         P7     YES      schedule_meeting     OK          889
qwen2.5:0.5b         P8     YES      search_files         OK          540
qwen2.5:0.5b         P9     no       -                    -          1813
qwen2.5:0.5b         P10    no       -                    -          1162
qwen2.5:0.5b         P11    YES      get_weather          OK          342
qwen2.5:0.5b         P12    YES      get_weather          OK          506
-------------------------------------------------------------------------
llama3.2:3b          P1     YES      get_weather          OK         6399
llama3.2:3b          P2     YES      search_files         OK         1052
llama3.2:3b          P3     YES      schedule_meeting     OK         3171
llama3.2:3b          P4     YES      get_weather          OK         1082
llama3.2:3b          P5     YES      search_files         OK         2061
llama3.2:3b          P6     YES      get_weather          OK         1238
llama3.2:3b          P7     YES      schedule_meeting     OK         3381
llama3.2:3b          P8     YES      search_files         OK         1909
llama3.2:3b          P9     YES      get_weather          OK         1093
llama3.2:3b          P10    YES      search_files         OK         1209
llama3.2:3b          P11    YES      search_files         OK         1119
llama3.2:3b          P12    YES      schedule_meeting     OK         2110
-------------------------------------------------------------------------
smollm2:1.7b         P1     YES      get_weather          OK         4996
smollm2:1.7b         P2     YES      search_files         OK         1424
smollm2:1.7b         P3     YES      schedule_meeting     OK         3625
smollm2:1.7b         P4     no       -                    -           609
smollm2:1.7b         P5     no       -                    -           617
smollm2:1.7b         P6     YES      get_weather          OK         1540
smollm2:1.7b         P7     YES      schedule_meeting     OK         3985
smollm2:1.7b         P8     YES      search_files         OK         2243
smollm2:1.7b         P9     no       -                    -           583
smollm2:1.7b         P10    no       -                    -           931
smollm2:1.7b         P11    YES      get_weather          OK         2586
smollm2:1.7b         P12    YES      get_weather          OK         1627
-------------------------------------------------------------------------
ministral-3:3b       P1     YES      get_weather          OK        13928
ministral-3:3b       P2     YES      search_files         OK          889
ministral-3:3b       P3     YES      schedule_meeting     OK         3774
ministral-3:3b       P4     YES      get_weather          OK        18815
ministral-3:3b       P5     no       -                    -          8889
